timestamp,memory_change_10min,project_id,service_name,window_id,memory_change_5min,heap_rate,gc_spike_count,ram_mean,ram_max,ram_std,ram_std_trend,heap_max,gc_count,ram_percent,heap_mb_used,label,failure_type,incident_phase_1,incident_phase_2
2026-05-09 14:45:13.618402,0.001183,project_3,flamboyant_kalam,7,0.0,0.0,0,0.7254,0.7254,0.0,0.0044,56.8438,0,0.7254,56.8438,FAILURE,memory_leak,0,0
2026-05-09 14:45:13.618402,0.001183,project_3,flamboyant_kalam,19,0.0,0.0,0,0.7254,0.7254,0.0,0.0033,56.8438,0,0.7254,56.8438,FAILURE,memory_leak,0,0
2026-05-09 14:45:14.634065,0.0,project_2,dazzling_mendeleev,4,0.0,0.0,1,0.2868,0.2868,0.0,-0.0013,22.4766,2,0.2868,22.4766,NORMAL,,0,0
2026-05-09 14:45:14.635332,0.0,project_1,funny_mayer,1,0.0,0.0,0,0.4058,0.4058,0.0,0.0032,31.7969,2,0.4058,31.7969,FAILURE,memory_leak,0,0
2026-05-09 14:45:14.636924,-0.001238,project_4,focused_feistel,10,0.0,0.0,0,0.8738,0.8738,0.0,0.0045,68.4688,2,0.8738,68.4688,NORMAL,,0,0
2026-05-09 14:45:14.636924,-0.001238,project_4,focused_feistel,46,0.0,0.0,0,0.8738,0.8738,0.0,0.0023,68.4688,2,0.8738,68.4688,NORMAL,,0,0
2026-05-09 14:45:14.636924,-0.001238,project_4,focused_feistel,28,0.0,0.0,0,0.8738,0.8738,0.0,0.001,68.4688,2,0.8738,68.4688,NORMAL,,0,0
2026-05-09 14:45:14.636924,-0.001238,project_4,focused_feistel,64,0.0,0.0,0,0.8738,0.8738,0.0,-0.0034,68.4688,2,0.8738,68.4688,NORMAL,,0,0
2026-05-09 14:45:16.643784,0.001183,project_3,flamboyant_kalam,1,0.0,0.0,0,0.7254,0.7254,0.0,0.0051,56.8438,1,0.7254,56.8438,FAILURE,memory_leak,0,0
2026-05-09 14:45:16.644096,0.0,project_1,funny_mayer,4,0.0,0.0,0,0.4058,0.4058,0.0,0.0078,31.7969,2,0.4058,31.7969,FAILURE,memory_leak,0,0
2026-05-09 14:45:16.644711,0.0,project_2,dazzling_mendeleev,7,0.0,0.0,2,0.2868,0.2868,0.0,-0.0034,22.4766,3,0.2868,22.4766,NORMAL,,0,0
2026-05-09 14:45:16.644711,0.0,project_2,dazzling_mendeleev,19,0.0,0.0,2,0.2868,0.2868,0.0,-0.0044,22.4766,3,0.2868,22.4766,NORMAL,,0,0
2026-05-09 14:45:16.645066,-0.001238,project_4,focused_feistel,10,0.0,0.0,0,0.8738,0.8738,0.0,0.0037,68.4688,1,0.8738,68.4688,NORMAL,,0,0
2026-05-09 14:45:16.645066,-0.001238,project_4,focused_feistel,46,0.0,0.0,0,0.8738,0.8738,0.0,0.001,68.4688,1,0.8738,68.4688,NORMAL,,0,0
